2ad580 396a3f30 2b2100
444160 357bef30 44c0f0
3bbc30 375a0f30 3f1070
187d20 35b9af30 227000
1e5cd0 30ae1f30 24f000
2981e0 3b1a8f30 2c609c
31c660 3ec68f30 32f090
2ca830 3dff8f30 358000
280a00 382e5f30 2be0a0
2c7ff0 35513f30 33f000
2e60d0 3b036f30 32f0a8
24ec60 3fc61f30 2700e0
24a110 3efaaf30 2520ec
384b00 30b28f30 3930e0
31fd70 3e89df30 38e000
1947d0 32a62f30 1bd090
2d7350 39bd7f30 323020
27bd40 3a219f30 2960e0
35a5a0 3e3fcf30 3e0088
3cfd90 3840af30 47d000
1ffa60 3061bf30 20e0e4
215da0 317d9f30 2aa000
470b20 321a6f30 48a08c
2d2900 3f7e9f30 32b010
28c990 31a5df30 2910e0
3da8b0 33036f30 3e10a8
36d450 3722df30 3d8068
2f90f0 38334f30 366000
37d230 3e914f30 3e8030
3d0b30 3128af30 414048
2252c0 3a6bff30 2ae010
32d230 32800f30 36a088
278bf0 34675f30 2b8080
1647a0 3d84df30 1b0010
341da0 3c6d7f30 3b9084
271690 3cb9cf30 2cc0e4
175d70 3bef9f30 1d3068
23c9f0 36ac1f30 283050
2252a0 3329bf30 2890a8
218180 39227f30 2410f0
402cd0 33475f30 458050
1438b0 313eaf30 1cc000
3d2c90 3d18af30 3ec0f0
3eeff0 37dbdf30 44703c
364fb0 3692bf30 38c0c8
336790 3dab3f30 3770a0
43db90 3059af30 4610c0
407130 3d67bf30 4210c8
34ce40 313f1f30 3c0060
1f7270 34d68f30 249010
2d30b0 3655bf30 371000
3e6dc0 321dbf30 43c0cc
321ea0 3ebb2f30 3520d0
1db3f0 32cb2f30 229088
17a660 33110f30 1dc0b0
1b9af0 34bc4f30 24a000
2f71a0 33e80f30 38e000
179850 33b31f30 1fa000
2e5e70 3d8dbf30 31706c
468e10 3654cf30 4a20dc
2c7fa0 33506f30 35d000
284190 3f118f30 300070
30df90 3bdadf30 3120f0
3ec740 30f27f30 452010
238400 3c007f30 2b104c
4486c0 3aa9ef30 45e0e8
350ba0 3c593f30 3d4000
18f070 32969f30 1ee010
3c4c90 3bafcf30 425010
19bae0 3542df30 220000
46f980 38dc3f30 48a090
1da640 321dbf30 20a090
2cebd0 32566f30 35d000
1e2f80 328c0f30 1f90c0
3729b0 3e8c9f30 3a50c0
